segment_filename	start_time	end_time	transcription
52e6ca52c37c4758f328d1a514d93b37_seg0.wav	0.0	1.5	w porządku
52e6ca52c37c4758f328d1a514d93b37_seg1.wav	0.75	2.25	Aktywowałem
52e6ca52c37c4758f328d1a514d93b37_seg2.wav	1.5	3.0	to
ac7c4302da78d6bc36243d39bc8d7981_seg0.wav	0.0	1.5	ale niedobrze
ac7c4302da78d6bc36243d39bc8d7981_seg1.wav	0.75	2.25	dobrze pojechałeś moje
ac7c4302da78d6bc36243d39bc8d7981_seg2.wav	1.5	3.0	moje słowa
ac7c4302da78d6bc36243d39bc8d7981_seg3.wav	2.25	3.75	
c878e01ea0d68902ea09433001143c79_seg0.wav	0.0	1.5	tak myślisz
54c8802ab7961dfba500f7aae92a69ad_seg0.wav	0.0	1.5	może nie ma w
54c8802ab7961dfba500f7aae92a69ad_seg1.wav	0.75	2.25	w głowie człowieczku
54c8802ab7961dfba500f7aae92a69ad_seg2.wav	1.5	3.0	ale czy
54c8802ab7961dfba500f7aae92a69ad_seg3.wav	2.25	3.75	nie wszystko jedno
54c8802ab7961dfba500f7aae92a69ad_seg4.wav	3.0	4.5	
f49dfdd663603cfbe8c9c148bc6f7c77_seg0.wav	0.0	1.5	z lekka
f49dfdd663603cfbe8c9c148bc6f7c77_seg1.wav	0.75	2.25	ocierając wąs
f49dfdd663603cfbe8c9c148bc6f7c77_seg2.wav	1.5	3.0	wąsy grzbietem ręki
f49dfdd663603cfbe8c9c148bc6f7c77_seg3.wav	2.25	3.75	ręki
a3992e95fae26fc92b265ec1971a120f_seg0.wav	0.0	1.5	imię Martyna nie
a3992e95fae26fc92b265ec1971a120f_seg1.wav	0.75	2.25	nie pochodzi od Marty
a3992e95fae26fc92b265ec1971a120f_seg2.wav	1.5	3.0	Party Tylko
a3992e95fae26fc92b265ec1971a120f_seg3.wav	2.25	3.75	tylko jest żeńską
a3992e95fae26fc92b265ec1971a120f_seg4.wav	3.0	4.5	forma imienia Marcin
a3992e95fae26fc92b265ec1971a120f_seg5.wav	3.75	5.25	Marcin
6b08168ed5a1006548220b6f5b21828e_seg0.wav	0.0	1.5	wstał z fotela na
6b08168ed5a1006548220b6f5b21828e_seg1.wav	0.75	2.25	najstarsze suszonych
6b08168ed5a1006548220b6f5b21828e_seg2.wav	1.5	3.0	chemik
6b08168ed5a1006548220b6f5b21828e_seg3.wav	2.25	3.75	siwy staruszek
6b08168ed5a1006548220b6f5b21828e_seg4.wav	3.0	4.5	Januszek
450eb0789d52ba12034f0b8e87c8e4c1_seg0.wav	0.0	1.5	najbliższy lot
450eb0789d52ba12034f0b8e87c8e4c1_seg1.wav	0.75	2.25	lot z Warszawy do Londynu
450eb0789d52ba12034f0b8e87c8e4c1_seg2.wav	1.5	3.0	jest o godzinie
450eb0789d52ba12034f0b8e87c8e4c1_seg3.wav	2.25	3.75	dwunastej piętnaście
450eb0789d52ba12034f0b8e87c8e4c1_seg4.wav	3.0	4.5	15
450eb0789d52ba12034f0b8e87c8e4c1_seg5.wav	3.75	5.25	
a6a372db7797cd7e78d36acb0181f1b6_seg0.wav	0.0	1.5	Dotyk był
a6a372db7797cd7e78d36acb0181f1b6_seg1.wav	0.75	2.25	miłe przyjęcie
a6a372db7797cd7e78d36acb0181f1b6_seg2.wav	1.5	3.0	przyjemny IV
a6a372db7797cd7e78d36acb0181f1b6_seg3.wav	2.25	3.75	z pewnością go
a6a372db7797cd7e78d36acb0181f1b6_seg4.wav	3.0	4.5	potrzebowała ale
a6a372db7797cd7e78d36acb0181f1b6_seg5.wav	3.75	5.25	ale w tym momencie wyda
a6a372db7797cd7e78d36acb0181f1b6_seg6.wav	4.5	6.0	wydawał się nie natura
a6a372db7797cd7e78d36acb0181f1b6_seg7.wav	5.25	6.75	naturalne jakby
a6a372db7797cd7e78d36acb0181f1b6_seg8.wav	6.0	7.5	jakby dotknął ją całkowicie
a6a372db7797cd7e78d36acb0181f1b6_seg9.wav	6.75	8.25	całkowicie obcy B
a6a372db7797cd7e78d36acb0181f1b6_seg10.wav	7.5	9.0	Tybet
a6a372db7797cd7e78d36acb0181f1b6_seg11.wav	8.25	9.75	
afb3615a42eec3ec95e8889be6e84819_seg0.wav	0.0	1.5	przesunąłem
afb3615a42eec3ec95e8889be6e84819_seg1.wav	0.75	2.25	dłonią po czole
afb3615a42eec3ec95e8889be6e84819_seg2.wav	1.5	3.0	Opole
cea140442cdade93a77f596a126fcf0b_seg0.wav	0.0	1.5	Zresztą nie Boję się
cea140442cdade93a77f596a126fcf0b_seg1.wav	0.75	2.25	że wcale śmierci
cea140442cdade93a77f596a126fcf0b_seg2.wav	1.5	3.0	
96679aa138bb944d89cf79073c8de440_seg0.wav	0.0	1.5	przytłacza mnie
96679aa138bb944d89cf79073c8de440_seg1.wav	0.75	2.25	dosłownie
96679aa138bb944d89cf79073c8de440_seg2.wav	1.5	3.0	
9a9fca1a2fe6ebc7623bc3c65d20d432_seg0.wav	0.0	1.5	ręka mściciel
9a9fca1a2fe6ebc7623bc3c65d20d432_seg1.wav	0.75	2.25	narodowych do
9a9fca1a2fe6ebc7623bc3c65d20d432_seg2.wav	1.5	3.0	dosięga i wszędzie
9a9fca1a2fe6ebc7623bc3c65d20d432_seg3.wav	2.25	3.75	wszędzie
f30506c0746da61cb4ed744ac4d36ba8_seg0.wav	0.0	1.5	muszę to Zresztą
f30506c0746da61cb4ed744ac4d36ba8_seg1.wav	0.75	2.25	Zresztą zrobić dla bezp
